               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.060051,           0.0046958,            0.017506,             0.59674,             0.54112,             0.56345,             0.21149,            0.024878,           0.0049028,           0.0048775,            0.007129,            0.007129,            0.007129
                 118,            0.060286,           0.0048579,            0.016681,             0.62887,              0.5889,             0.57279,             0.22863,            0.024112,           0.0048321,           0.0045425,           0.0071042,           0.0071042,           0.0071042
                 119,            0.059349,           0.0046583,              0.0165,             0.56054,             0.58235,             0.57546,             0.21971,            0.023774,           0.0048593,           0.0045054,           0.0070795,           0.0070795,           0.0070795
                 120,            0.059881,           0.0048816,            0.015801,             0.56622,             0.58891,             0.57089,             0.22176,            0.023615,           0.0048452,            0.004623,           0.0070547,           0.0070547,           0.0070547
                 121,            0.059846,           0.0047529,            0.016057,             0.64366,             0.53119,             0.56861,              0.2218,            0.024078,           0.0048442,           0.0043673,             0.00703,             0.00703,             0.00703
                 122,            0.059158,           0.0050365,            0.015891,             0.70709,              0.5793,              0.6274,             0.24139,            0.023243,           0.0047276,           0.0042108,           0.0070053,           0.0070053,           0.0070053
                 123,            0.059664,           0.0045244,            0.014472,             0.53466,              0.5886,             0.56044,             0.21784,            0.024201,           0.0048175,           0.0041472,           0.0069805,           0.0069805,           0.0069805
                 124,            0.059815,           0.0046421,            0.013844,             0.63742,             0.51999,             0.55934,             0.20919,            0.024317,           0.0049312,           0.0041951,           0.0069558,           0.0069558,           0.0069558
                 125,            0.059974,           0.0047297,             0.01538,             0.68278,             0.56923,             0.62072,             0.23134,            0.023189,           0.0047736,            0.004286,            0.006931,            0.006931,            0.006931
                 126,            0.058541,            0.004752,            0.013968,             0.68089,             0.49771,             0.55953,             0.22105,            0.023116,           0.0049278,           0.0043447,           0.0069063,           0.0069063,           0.0069063
                 127,            0.057179,            0.004682,            0.014287,             0.62253,             0.61883,             0.61532,             0.24725,            0.023187,           0.0045951,           0.0037805,           0.0068815,           0.0068815,           0.0068815
                 128,            0.057872,           0.0046472,            0.013909,             0.59631,             0.63046,             0.62943,             0.26244,            0.022715,           0.0046952,            0.003833,           0.0068568,           0.0068568,           0.0068568
