               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.068424,            0.032958,              0.1032,           0.0053086,              0.2184,            0.015255,           0.0037412,            0.062579,            0.034687,              0.1066,            0.001585,            0.001585,            0.001585
                  87,            0.066094,            0.033892,             0.10316,            0.017496,              0.2441,            0.027351,           0.0085818,            0.062023,            0.033105,             0.10646,            0.001486,            0.001486,            0.001486
                  88,            0.068105,            0.033015,              0.1032,            0.015555,             0.21632,            0.018056,           0.0052533,            0.060233,            0.032488,              0.1064,            0.001387,            0.001387,            0.001387
                  89,            0.066482,            0.032801,             0.10271,            0.015379,             0.22674,            0.021528,           0.0068602,             0.06096,            0.032244,             0.10652,            0.001288,            0.001288,            0.001288
                  90,            0.066373,            0.032887,              0.1029,             0.02549,             0.23785,            0.031692,            0.011061,            0.062021,             0.03301,             0.10686,            0.001189,            0.001189,            0.001189
                  91,            0.066181,            0.032805,             0.10277,             0.01236,             0.22639,            0.021537,           0.0070714,            0.062081,            0.031707,             0.10659,             0.00109,             0.00109,             0.00109
                  92,            0.066786,            0.032434,             0.10301,            0.006569,             0.22187,            0.014225,           0.0042569,            0.060371,            0.032324,             0.10627,            0.000991,            0.000991,            0.000991
                  93,            0.066499,            0.033438,             0.10332,           0.0099108,             0.19167,            0.013631,           0.0041745,             0.06048,            0.032847,             0.10655,            0.000892,            0.000892,            0.000892
                  94,            0.065056,            0.032474,              0.1027,            0.012933,             0.23785,            0.030767,           0.0095821,             0.06432,            0.032234,             0.10681,            0.000793,            0.000793,            0.000793
                  95,            0.066499,            0.034401,             0.10347,            0.014434,             0.24826,            0.032534,           0.0096495,            0.061292,            0.032959,             0.10677,            0.000694,            0.000694,            0.000694
                  96,            0.066656,            0.032096,               0.103,           0.0075482,             0.22743,             0.01663,            0.005262,            0.060075,            0.032485,             0.10674,            0.000595,            0.000595,            0.000595
                  97,            0.066845,            0.031446,             0.10299,             0.01312,             0.23576,            0.017559,            0.005628,            0.060768,            0.032041,             0.10658,            0.000496,            0.000496,            0.000496
                  98,            0.066913,            0.032492,             0.10284,           0.0096957,             0.24826,            0.022181,           0.0060043,            0.063106,            0.031487,             0.10676,            0.000397,            0.000397,            0.000397
                  99,            0.065996,            0.034011,             0.10271,           0.0066942,             0.24201,            0.019797,           0.0057005,            0.062046,            0.031833,             0.10661,            0.000298,            0.000298,            0.000298
